Index,Fibonacci_Number,Exponential_Curve
1,0,1.12
2,1,1.2544
3,1,1.40493
4,2,1.57352
5,3,1.76234
6,5,1.97382
7,8,2.21068
8,13,2.47596
9,21,2.77308
10,34,3.10585
11,55,3.47855
12,89,3.89598
13,144,4.36349
14,233,4.88711
15,377,5.47357
16,610,6.13039
17,987,6.86604
18,1597,7.68997
19,2584,8.61276
20,4181,9.64629
21,6765,10.80385
22,10946,12.10031
23,17711,13.55235
24,28657,15.17863
25,46368,17.00006
26,75025,19.04007
27,121393,21.32488
28,196418,23.88387
29,317811,26.74993
30,514229,29.95992
31,832040,33.55511
32,1346269,37.58173
33,2178309,42.09153
34,3524578,47.14252
35,5702887,52.79962
36,9227465,59.13557
37,14930352,66.23184
38,24157817,74.17966
39,39088169,83.08122
40,63245986,93.05097
41,102334155,104.21709
42,165580141,116.72314
43,267914296,130.72991
44,433494437,146.4175
45,701408733,163.9876
46,1134903170,183.66612
47,1836311903,205.70605
48,2971215073,230.39078
49,4807526976,258.03767
50,7778742049,289.00219
51,12586269025,323.68245
52,20365011074,362.52435
53,32951280099,406.02727
54,53316291173,454.75054
55,86267571272,509.32061
56,139583862445,570.43908
57,225851433717,638.89177
58,365435296162,715.55878
59,591286729879,801.42583
60,956722026041,897.59693
61,1548008755920,1005.30857
62,2504730781961,1125.94559
63,4052739537881,1261.05906
64,6557470319842,1412.38615
65,10610209857723,1581.87249
66,17167680177565,1771.69719
67,27777890035288,1984.30085
68,44945570212853,2222.41695
69,72723460248141,2489.10699
70,117669030460994,2787.79983
71,190392490709135,3122.33581
72,308061521170129,3497.0161
73,498454011879264,3916.65804
74,806515533049393,4386.657
75,1304969544928657,4913.05584
76,2111485077978050,5502.62254
77,3416454622906707,6162.93725
78,5527939700884757,6902.48972
79,8944394323791464,7730.78848
80,14472334024676221,8658.4831
81,23416728348467685,9697.50107
82,37889062373143906,10861.2012
83,61305790721611591,12164.54534
84,99194853094755497,13624.29079
85,160500643816367088,15259.20568
86,259695496911122585,17090.31036
87,420196140727489673,19141.14761
88,679891637638612258,21438.08532
89,1100087778366101931,24010.65556
90,1779979416004714189,26891.93422
91,2880067194370816120,30118.96633
92,4660046610375530309,33733.24229
93,7540113804746346429,37781.23136
94,12200160415121876738,42314.97913
95,19740274219868223167,47392.77662
96,31940434634990099905,53079.90982
97,51680708854858323072,59449.499
98,83621143489848422977,66583.43888
99,135301852344706746049,74573.45154
100,218922995834555169026,83522.26573
